Ticker,Name,DVI (%),Forward Yield (%),Annual Dividend ($)
XPAY,TARGET 20 S&P 500,0.60,20.74,11.43
OMAH,TARGET 15 BERKSHIRE,1.90,14.77,2.81
RNTY,REAL ESTATE; TARGET 12%,2.00,12.09,5.94
TDAQ,QQQ 100 Innovation; growth & Income,2.10,16.60,4.44
TSPY,S&P 500,3.20,14.15,3.61
SPYI,S&P,3.40,11.83,6.26
IYRI,REIT,4.60,10.84,5.35
YSPY,SPY,4.80,50.21,9.29
GPIX,S&P 500 /,4.90,8.52,4.49
RYLD,Russell 2000 Covered Call ETF,5.00,11.84,1.82
QQQI,NASD,5.10,13.77,7.56
AMYY,AMD,5.20,96.01,22.23
BIGY,TARGET 12% ON 50 LC Cos,5.20,12.06,6.40
IWMI,RUS 2000,5.20,13.88,6.88
IAUI,GOLD,5.30,12.40,6.85
QQQH,NASD 100 HEDGE,5.90,8.88,4.87
AZYY,AMZN,6.00,50.94,10.57
GPIQ,NASD 100,6.40,10.46,5.58
TQQY,QQQ,6.80,48.43,8.05
PLYY,PLTR,8.00,101.85,20.66
DIVO,CWP Enhanced Dividend Income ETF,8.30,5.64,2.57
CEPI,CRYPTO,8.60,41.38,14.74
BAGY,BITCOIN,9.00,36.39,13.82
KGLD,GOLD,9.80,12.12,3.60
SPYH,S&P HEDGED,10.00,7.70,4.26
BLOX,CRYPTO; BC & ETH,10.30,34.85,6.84
BTCI,BITCOIN,10.50,26.79,12.22
SLJY,SILVER,11.40,22.36,6.88
GPTY,AI & TECH,11.50,34.71,15.58
SOXY,SEMICONDUCTORS 12; TARGET 12%,11.70,11.80,7.14
GOOP,GOOG,12.00,11.96,4.80
JEPQ,HIGH TECH,12.60,11.29,6.64
MAGY,MAG 7,13.30,34.47,18.75
CHPY,SEMICONDUCTORS,13.80,39.20,22.60
HOII,HOOD,14.10,32.82,6.88
NVYY,NVDA,14.20,99.97,20.39
QDVO,RUS 1000 GROWTH,14.30,10.96,3.22
PBP,S&P 500 BuyWrite ETF,16.00,11.64,2.67
PLTI,PLTR,16.20,20.18,4.20
JEPI,Equity Premium Income ETF,16.40,7.74,4.45
LFGY,CRYPTO & TECH,17.40,64.41,18.19
AMZP,AMZN,18.80,21.03,6.00
AIPI,AI,19.80,34.40,14.41
FEPI,HIGH TECH,20.10,24.84,11.51
IWMY,Russell 2000 Enhanced Options Income ETF,20.40,39.93,8.17
GLDW,GOLD MINERS,21.60,22.66,11.97
RDTY,RUS 2000 / ODTE,22.10,41.52,16.82
YMAX,FOF,22.50,46.85,5.01
XOMO,XOM,22.60,21.28,2.46
QQQY,NASDAQ 100 Enhanced Options Income ETF,23.30,34.95,8.47
XBTY,BITCOIN,25.90,98.65,11.62
QDTY,NASD 100 ODTE,26.10,32.65,14.53
NFLP,NFLX,26.20,22.29,6.60
SDTY,S&P 500 ODTE,26.50,23.34,10.57
RDTE,RUS 2000 / ODTE,26.60,39.34,12.41
QYLD,HIGH TECH,26.90,11.82,2.07
WPAY,FOF,28.30,38.54,18.16
AVGW,AVGO,29.50,54.37,31.32
AMZW,AMZN,31.30,29.27,12.77
XYZY,XYZ,31.40,107.92,35.40
COYY,COIN,33.20,147.01,14.66
DISO,MEDIA; ENTERTAINMENT; COMM,34.50,63.51,7.37
TSMY,TSM,34.70,83.10,12.96
XDTE,S&P / ODTE,35.20,37.08,16.17
APLY,AAPL,35.60,44.77,6.15
TSYY,TSLA,37.00,137.01,8.33
ABNY,ABNB,37.10,48.48,21.91
OARK,ARKK,38.50,86.07,33.05
TSLY,TSLA,39.70,123.97,48.62
FBY,META,40.30,99.93,13.02
NVDW,NVDA,40.70,41.90,17.75
YMAG,MAG 7,40.80,34.43,5.06
AMZY,AMZN,41.20,75.59,10.11
HOOW,HOOD,41.30,84.88,52.13
NVII,NVDA,41.30,71.81,20.73
METW,META,42.00,35.74,13.58
GOOW,GOOG,42.30,49.59,37.68
CVNY,CVNA,42.90,123.87,46.06
AAPW,AAPL,43.50,31.18,13.29
SMCY,SMCI,43.80,116.01,11.10
TSLW,TSLA,44.20,51.09,18.31
YBIT,BITCOIN,44.70,102.81,36.07
MSFO,MSFT,44.80,57.74,9.00
PLTW,PLTR,45.10,40.83,16.74
KQQQ,TECH,45.40,16.91,4.92
PYPY,PYPL,46.10,75.24,6.53
TSLP,TSLA,46.80,24.82,6.00
GOOY,GOOG,47.10,85.46,13.04
TSII,TSLA,47.10,63.93,17.39
AMDW,AMD,47.20,25.66,14.02
COIW,COIN,49.40,36.49,9.56
QDTE,INNOVATION 100 / ODTE,50.10,56.97,20.01
NFLY,NFLX,51.20,72.56,9.32
NFLW,NFLX,51.90,31.84,9.77
BRKW,BRK.B,52.00,18.49,8.45
MSFY,MSFT,53.60,38.72,9.60
CONY,COIN,54.20,126.41,58.82
MSTY,MSTR,54.60,102.96,7.22
XYLD,S&P 500 BUYWRITE INDEX,56.90,11.88,4.80
PLTY,PLTR,57.00,122.94,67.68
YBTC,BITCOIN,57.20,32.93,10.32
ULTY,ULTRA,57.40,76.49,30.58
MSTW,MSTR,60.00,65.12,8.43
IGLD,GOLD,61.90,22.35,5.57
YETH,ETHER,62.00,54.51,9.69
MSFW,MSFT,62.20,15.91,6.42
MAXI,S&P,66.20,74.53,12.00
NVDY,NVDA,68.30,58.37,8.57
GIAX,S&P 500,69.10,5.42,0.93
JPMO,JPM,71.60,61.96,9.90
MARO,MARA,75.20,130.21,12.68
COII,COIN,75.60,25.36,4.47
MSII,MSTR,83.80,30.24,2.85
HOOY,HOOD,96.60,124.06,68.73
GDXY,GOLD MINERS,108.00,102.19,16.17
DJIA,Dow 30 Covered Call ETF,115.50,11.87,2.67
AMDY,AMD,123.50,512.04,40.14
BABO,BABA,148.30,86.58,12.38